provinsi,jenis,daerah,tahun,periode,cluster,pca1,pca2
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,0,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,2,1.0,1,1,17.16585758611165,2.0732324577040786
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,0,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,0,1.0,1,1,17.16585758611165,2.0732324577040755
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,0,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,0,1,1.0,1,1,17.16585758611165,2.0732324577040773
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
34,1,2,1.0,0,1,17.16585758611165,0.6712791413537744
